fieldsample_barcode,BioSample,project_id,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_col,library_conc,library_method,seq_id
MFD04118,SAMN39868477,P04_3,EXT-MJ082-C5,EXT-MJ082-C5,EXT00008,C,5,11.31,PowerSoil-Pro-HT,LIB-MJ089-C5,LIB00008,C,5,0.15,ILLUMINA-DNA-PREP.V2,LIB-MJ089-C5_02
MFD04119,SAMN39868478,P04_3,EXT-MJ083-H7,EXT-MJ083-H7,EXT00009,H,7,10.66,PowerSoil-Pro-HT,LIB-MJ090-H7,LIB00009,H,7,0.07,ILLUMINA-DNA-PREP.V2,LIB-MJ090-H7_04
MFD04120,SAMN39868479,P04_3,EXT-MJ082-C9,EXT-MJ082-C9,EXT00008,C,9,14.46,PowerSoil-Pro-HT,LIB-MJ089-C9,LIB00008,C,9,0.28,ILLUMINA-DNA-PREP.V2,LIB-MJ089-C9_02
MFD04121,SAMN39868480,P04_3,EXT-MJ086-B6,EXT-MJ086-B6,EXT00012,B,6,3.91,PowerSoil-Pro-HT,LIB-MJ093-B6,LIB00012,B,6,0.74,ILLUMINA-DNA-PREP.V2,LIB-MJ093-B6_02
MFD04122,SAMN39868481,P04_3,EXT-MJ086-A10,EXT-MJ086-A10,EXT00012,A,10,5.01,PowerSoil-Pro-HT,LIB-MJ093-A10,LIB00012,A,10,0.14,ILLUMINA-DNA-PREP.V2,LIB-MJ093-A10_02
MFD04123,SAMN39868482,P04_3,EXT-MJ084-B6,EXT-MJ084-B6,EXT00010,B,6,40.85,PowerSoil-Pro-HT,LIB-MJ091-B6,LIB00010,B,6,0.82,ILLUMINA-DNA-PREP.V2,LIB-MJ091-B6_03
MFD04124,SAMN39868483,P04_3,EXT-MJ085-F7,EXT-MJ085-F7,EXT00011,F,7,6.93,PowerSoil-Pro-HT,LIB-MJ092-F7,LIB00011,F,7,1.08,ILLUMINA-DNA-PREP.V2,LIB-MJ092-F7_01
MFD04125,SAMN39868484,P04_3,EXT-MJ082-G5,EXT-MJ082-G5,EXT00008,G,5,21.61,PowerSoil-Pro-HT,LIB-MJ089-G5,LIB00008,G,5,0.38,ILLUMINA-DNA-PREP.V2,LIB-MJ089-G5_02
MFD04126,SAMN39868485,P04_3,EXT-MJ086-F1,EXT-MJ086-F1,EXT00012,F,1,15.09,PowerSoil-Pro-HT,LIB-MJ093-F1,LIB00012,F,1,0.55,ILLUMINA-DNA-PREP.V2,LIB-MJ093-F1_02
MFD04127,SAMN39868486,P04_3,EXT-MJ085-E5,EXT-MJ085-E5,EXT00011,E,5,6.95,PowerSoil-Pro-HT,LIB-MJ092-E5,LIB00011,E,5,0.88,ILLUMINA-DNA-PREP.V2,LIB-MJ092-E5_01
MFD04129,SAMN39868487,P04_3,EXT-MJ083-A1,EXT-MJ083-A1,EXT00009,A,1,20.09,PowerSoil-Pro-HT,LIB-MJ090-A1,LIB00009,A,1,1.22,ILLUMINA-DNA-PREP.V2,LIB-MJ090-A1_04
MFD04130,SAMN39868488,P04_3,EXT-MJ081-G10,EXT-MJ081-G10,EXT00007,G,10,14.09,PowerSoil-Pro-HT,LIB-MJ088-G10,LIB00007,G,10,1.3,ILLUMINA-DNA-PREP.V2,LIB-MJ088-G10_04
MFD04131,SAMN39868489,P04_3,EXT-MJ086-F4,EXT-MJ086-F4,EXT00012,F,4,19.57,PowerSoil-Pro-HT,LIB-MJ093-F4,LIB00012,F,4,2.06,ILLUMINA-DNA-PREP.V2,LIB-MJ093-F4_02
MFD04132,SAMN39868490,P04_3,EXT-MJ085-D3,EXT-MJ085-D3,EXT00011,D,3,35.46,PowerSoil-Pro-HT,LIB-MJ092-D3,LIB00011,D,3,1.51,ILLUMINA-DNA-PREP.V2,LIB-MJ092-D3_01
MFD04133,SAMN39868491,P04_3,EXT-MJ082-B2,EXT-MJ082-B2,EXT00008,B,2,19.86,PowerSoil-Pro-HT,LIB-MJ089-B2,LIB00008,B,2,0.23,ILLUMINA-DNA-PREP.V2,LIB-MJ089-B2_02
MFD04134,SAMN39868492,P04_3,EXT-MJ084-A9,EXT-MJ084-A9,EXT00010,A,9,5.62,PowerSoil-Pro-HT,LIB-MJ091-A9,LIB00010,A,9,0.21,ILLUMINA-DNA-PREP.V2,LIB-MJ091-A9_03
MFD04135,SAMN39868493,P04_3,EXT-MJ085-F9,EXT-MJ085-F9,EXT00011,F,9,13.63,PowerSoil-Pro-HT,LIB-MJ092-F9,LIB00011,F,9,1.32,ILLUMINA-DNA-PREP.V2,LIB-MJ092-F9_01
MFD04136,SAMN39868494,P04_3,EXT-MJ081-F1,EXT-MJ081-F1,EXT00007,F,1,4.61,PowerSoil-Pro-HT,LIB-MJ088-F1,LIB00007,F,1,0.98,ILLUMINA-DNA-PREP.V2,LIB-MJ088-F1_04
